Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P0,30.00,45.00,60.00,0.00,5.5778e-08,2.4408e-07,8.1516e-07,3.1098e-06,7.4350e-06,7.4225e-06,6.3202e-06,5.3863e-08,2.2210e-07,5.9490e-07,3.1273e-06,6.0621e-06,7.3219e-06,7.0534e-06
P0,0.00,90.00,60.00,0.00,4.3369e-08,2.5386e-07,8.4456e-07,3.1357e-06,7.4476e-06,7.4350e-06,6.4634e-06,4.1933e-08,2.3113e-07,6.1736e-07,3.1497e-06,6.0705e-06,7.3324e-06,7.1583e-06
P0,60.00,45.00,60.00,0.00,9.2103e-08,2.0998e-07,7.0551e-07,2.9695e-06,7.3503e-06,7.3379e-06,5.7275e-06,8.8848e-08,1.9084e-07,5.1447e-07,3.0002e-06,5.9951e-06,7.2476e-06,6.5899e-06
P0,30.00,90.00,0.00,0.00,6.9723e-08,2.4409e-07,8.1517e-07,3.1095e-06,7.4350e-06,7.4224e-06,6.3202e-06,6.6876e-08,2.2210e-07,5.9490e-07,3.1270e-06,6.0620e-06,7.3219e-06,7.0534e-06
P0,30.00,135.00,0.00,0.00,6.9723e-08,2.4409e-07,8.1517e-07,3.1095e-06,7.4350e-06,7.4224e-06,6.3202e-06,6.6876e-08,2.2210e-07,5.9490e-07,3.1270e-06,6.0620e-06,7.3219e-06,7.0534e-06
P0,0.00,45.00,30.00,0.00,6.1790e-08,2.5387e-07,8.4456e-07,3.1359e-06,7.4476e-06,7.4350e-06,6.4634e-06,5.9345e-08,2.3113e-07,6.1737e-07,3.1499e-06,6.0705e-06,7.3324e-06,7.1583e-06
P0,60.00,90.00,30.00,0.00,7.4892e-08,2.0997e-07,7.0551e-07,2.9676e-06,7.3501e-06,7.3377e-06,5.7275e-06,7.1966e-08,1.9084e-07,5.1447e-07,2.9981e-06,5.9947e-06,7.2474e-06,6.5899e-06
P1,30.00,180.00,30.00,0.00,8.3453e-08,3.2465e-07,1.0661e-06,5.8330e-06,1.1465e-05,1.1453e-05,8.7786e-06,8.2302e-08,2.9439e-07,7.7752e-07,5.8868e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,0.00,45.00,60.00,0.00,6.9503e-08,3.3918e-07,1.1070e-06,5.9014e-06,1.1549e-05,1.1536e-05,9.0379e-06,6.9049e-08,3.0783e-07,8.0771e-07,5.9494e-06,1.0160e-05,1.1464e-05,1.0270e-05
P1,0.00,180.00,0.00,0.00,8.9523e-08,3.3918e-07,1.1070e-06,5.9017e-06,1.1549e-05,1.1536e-05,9.0379e-06,8.8135e-08,3.0783e-07,8.0771e-07,5.9496e-06,1.0160e-05,1.1465e-05,1.0270e-05
P1,0.00,90.00,0.00,0.00,8.9523e-08,3.3918e-07,1.1070e-06,5.9017e-06,1.1549e-05,1.1536e-05,9.0379e-06,8.8135e-08,3.0783e-07,8.0771e-07,5.9496e-06,1.0160e-05,1.1465e-05,1.0270e-05
P1,30.00,135.00,30.00,0.00,8.4656e-08,3.2465e-07,1.0661e-06,5.8331e-06,1.1465e-05,1.1453e-05,8.7786e-06,8.3468e-08,2.9439e-07,7.7752e-07,5.8869e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,30.00,0.00,30.00,0.00,9.3821e-08,3.2465e-07,1.0661e-06,5.8334e-06,1.1465e-05,1.1453e-05,8.7786e-06,9.2357e-08,2.9439e-07,7.7752e-07,5.8873e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,0.00,45.00,0.00,0.00,8.9523e-08,3.3918e-07,1.1070e-06,5.9017e-06,1.1549e-05,1.1536e-05,9.0379e-06,8.8135e-08,3.0783e-07,8.0771e-07,5.9496e-06,1.0160e-05,1.1465e-05,1.0270e-05
P1,30.00,180.00,60.00,0.00,6.5946e-08,3.2464e-07,1.0661e-06,5.8328e-06,1.1465e-05,1.1453e-05,8.7786e-06,6.5560e-08,2.9439e-07,7.7752e-07,5.8866e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,0.00,135.00,0.00,0.00,8.9523e-08,3.3918e-07,1.1070e-06,5.9017e-06,1.1549e-05,1.1536e-05,9.0379e-06,8.8135e-08,3.0783e-07,8.0771e-07,5.9496e-06,1.0160e-05,1.1465e-05,1.0270e-05
P1,0.00,180.00,30.00,0.00,8.5651e-08,3.3918e-07,1.1070e-06,5.9016e-06,1.1549e-05,1.1536e-05,9.0379e-06,8.4453e-08,3.0783e-07,8.0771e-07,5.9496e-06,1.0160e-05,1.1465e-05,1.0270e-05
P1,30.00,90.00,60.00,0.00,7.1688e-08,3.2464e-07,1.0661e-06,5.8330e-06,1.1465e-05,1.1453e-05,8.7786e-06,7.1133e-08,2.9439e-07,7.7752e-07,5.8868e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,60.00,180.00,60.00,0.00,6.3520e-08,2.7294e-07,9.1855e-07,5.5104e-06,1.1045e-05,1.1033e-05,7.7369e-06,6.3073e-08,2.4676e-07,6.6790e-07,5.5881e-06,9.8132e-06,1.0991e-05,9.1439e-06
P1,60.00,0.00,0.00,0.00,9.1167e-08,2.7294e-07,9.1855e-07,5.5111e-06,1.1045e-05,1.1033e-05,7.7369e-06,8.9688e-08,2.4676e-07,6.6790e-07,5.5889e-06,9.8134e-06,1.0991e-05,9.1440e-06
P1,0.00,135.00,60.00,0.00,6.9503e-08,3.3918e-07,1.1070e-06,5.9014e-06,1.1549e-05,1.1536e-05,9.0379e-06,6.9049e-08,3.0783e-07,8.0771e-07,5.9494e-06,1.0160e-05,1.1464e-05,1.0270e-05
P1,60.00,45.00,0.00,0.00,9.1167e-08,2.7294e-07,9.1855e-07,5.5111e-06,1.1045e-05,1.1033e-05,7.7369e-06,8.9688e-08,2.4676e-07,6.6790e-07,5.5889e-06,9.8134e-06,1.0991e-05,9.1440e-06
P1,0.00,45.00,30.00,0.00,8.5651e-08,3.3918e-07,1.1070e-06,5.9016e-06,1.1549e-05,1.1536e-05,9.0379e-06,8.4453e-08,3.0783e-07,8.0771e-07,5.9496e-06,1.0160e-05,1.1465e-05,1.0270e-05
P1,0.00,0.00,0.00,0.00,8.9523e-08,3.3918e-07,1.1070e-06,5.9017e-06,1.1549e-05,1.1536e-05,9.0379e-06,8.8135e-08,3.0783e-07,8.0771e-07,5.9496e-06,1.0160e-05,1.1465e-05,1.0270e-05
P1,30.00,45.00,60.00,0.00,7.8280e-08,3.2464e-07,1.0661e-06,5.8332e-06,1.1465e-05,1.1453e-05,8.7786e-06,7.7545e-08,2.9439e-07,7.7752e-07,5.8871e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,60.00,135.00,60.00,0.00,6.6222e-08,2.7294e-07,9.1855e-07,5.5105e-06,1.1045e-05,1.1033e-05,7.7369e-06,6.5695e-08,2.4676e-07,6.6790e-07,5.5883e-06,9.8133e-06,1.0991e-05,9.1439e-06
P1,0.00,180.00,60.00,0.00,6.9503e-08,3.3918e-07,1.1070e-06,5.9014e-06,1.1549e-05,1.1536e-05,9.0379e-06,6.9049e-08,3.0783e-07,8.0771e-07,5.9494e-06,1.0160e-05,1.1464e-05,1.0270e-05
P1,30.00,135.00,60.00,0.00,6.7341e-08,3.2464e-07,1.0661e-06,5.8328e-06,1.1465e-05,1.1453e-05,8.7786e-06,6.6912e-08,2.9439e-07,7.7752e-07,5.8867e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,0.00,90.00,60.00,0.00,6.9503e-08,3.3918e-07,1.1070e-06,5.9014e-06,1.1549e-05,1.1536e-05,9.0379e-06,6.9049e-08,3.0783e-07,8.0771e-07,5.9494e-06,1.0160e-05,1.1464e-05,1.0270e-05
