Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P1,0.00,180.00,0.00,0.00,6.4884e-08,3.2922e-07,1.0313e-06,4.6951e-06,9.4749e-06,9.4623e-06,8.1931e-06,6.4811e-08,3.0060e-07,7.6705e-07,4.7173e-06,8.0863e-06,9.3635e-06,9.0411e-06
P1,0.00,90.00,0.00,0.00,6.4884e-08,3.2922e-07,1.0313e-06,4.6951e-06,9.4749e-06,9.4623e-06,8.1931e-06,6.4811e-08,3.0060e-07,7.6705e-07,4.7173e-06,8.0863e-06,9.3635e-06,9.0411e-06
P1,30.00,135.00,30.00,0.00,6.4264e-08,3.1486e-07,9.8795e-07,4.5784e-06,9.2737e-06,9.2613e-06,7.9008e-06,6.4245e-08,2.8741e-07,7.3619e-07,4.6043e-06,7.9160e-06,9.1662e-06,8.7674e-06
P1,30.00,0.00,30.00,0.00,6.4355e-08,3.1486e-07,9.8795e-07,4.5784e-06,9.2737e-06,9.2613e-06,7.9008e-06,6.4332e-08,2.8742e-07,7.3620e-07,4.6043e-06,7.9160e-06,9.1662e-06,8.7674e-06
P1,0.00,45.00,0.00,0.00,6.4884e-08,3.2922e-07,1.0313e-06,4.6951e-06,9.4749e-06,9.4623e-06,8.1931e-06,6.4811e-08,3.0060e-07,7.6705e-07,4.7173e-06,8.0863e-06,9.3635e-06,9.0411e-06
P1,30.00,180.00,60.00,0.00,5.4688e-08,3.1461e-07,9.8749e-07,4.5777e-06,9.2733e-06,9.2610e-06,7.9006e-06,5.4810e-08,2.8719e-07,7.3580e-07,4.6036e-06,7.9155e-06,9.1658e-06,8.7672e-06
P1,0.00,135.00,0.00,0.00,6.4884e-08,3.2922e-07,1.0313e-06,4.6951e-06,9.4749e-06,9.4623e-06,8.1931e-06,6.4811e-08,3.0060e-07,7.6705e-07,4.7173e-06,8.0863e-06,9.3635e-06,9.0411e-06
P1,0.00,180.00,30.00,0.00,6.2131e-08,3.2916e-07,1.0313e-06,4.6950e-06,9.4748e-06,9.4622e-06,8.1931e-06,6.2116e-08,3.0054e-07,7.6696e-07,4.7172e-06,8.0862e-06,9.3634e-06,9.0411e-06
P1,30.00,90.00,60.00,0.00,5.4835e-08,3.1461e-07,9.8750e-07,4.5777e-06,9.2733e-06,9.2610e-06,7.9006e-06,5.4955e-08,2.8719e-07,7.3580e-07,4.6037e-06,7.9155e-06,9.1658e-06,8.7672e-06
P1,60.00,180.00,60.00,0.00,6.1654e-08,2.6443e-07,8.3510e-07,4.0061e-06,8.2818e-06,8.2708e-06,6.7445e-06,6.1682e-08,2.4125e-07,6.2716e-07,4.0436e-06,7.0655e-06,8.1909e-06,7.5950e-06
P1,60.00,0.00,0.00,0.00,7.6753e-08,2.6475e-07,8.3583e-07,4.0073e-06,8.2824e-06,8.2714e-06,6.7447e-06,7.6628e-08,2.4154e-07,6.2775e-07,4.0448e-06,7.0664e-06,8.1915e-06,7.5954e-06
P1,0.00,135.00,60.00,0.00,5.3160e-08,3.2892e-07,1.0308e-06,4.6944e-06,9.4745e-06,9.4619e-06,8.1928e-06,5.3295e-08,3.0032e-07,7.6660e-07,4.7165e-06,8.0857e-06,9.3630e-06,9.0408e-06
P1,60.00,45.00,0.00,0.00,7.6753e-08,2.6475e-07,8.3583e-07,4.0073e-06,8.2824e-06,8.2714e-06,6.7447e-06,7.6628e-08,2.4154e-07,6.2775e-07,4.0448e-06,7.0664e-06,8.1915e-06,7.5954e-06
P1,0.00,45.00,30.00,0.00,6.2131e-08,3.2916e-07,1.0313e-06,4.6950e-06,9.4748e-06,9.4622e-06,8.1931e-06,6.2116e-08,3.0054e-07,7.6696e-07,4.7172e-06,8.0862e-06,9.3634e-06,9.0411e-06
P1,0.00,0.00,0.00,0.00,6.4884e-08,3.2922e-07,1.0313e-06,4.6951e-06,9.4749e-06,9.4623e-06,8.1931e-06,6.4811e-08,3.0060e-07,7.6705e-07,4.7173e-06,8.0863e-06,9.3635e-06,9.0411e-06
P1,30.00,45.00,60.00,0.00,5.4938e-08,3.1462e-07,9.8751e-07,4.5777e-06,9.2733e-06,9.2610e-06,7.9006e-06,5.5056e-08,2.8719e-07,7.3581e-07,4.6037e-06,7.9155e-06,9.1658e-06,8.7672e-06
P1,60.00,135.00,60.00,0.00,6.1813e-08,2.6444e-07,8.3512e-07,4.0061e-06,8.2818e-06,8.2708e-06,6.7445e-06,6.1840e-08,2.4125e-07,6.2717e-07,4.0436e-06,7.0655e-06,8.1909e-06,7.5950e-06
P1,0.00,180.00,60.00,0.00,5.3160e-08,3.2892e-07,1.0308e-06,4.6944e-06,9.4745e-06,9.4619e-06,8.1928e-06,5.3295e-08,3.0032e-07,7.6660e-07,4.7165e-06,8.0857e-06,9.3630e-06,9.0408e-06
P1,30.00,135.00,60.00,0.00,5.4731e-08,3.1461e-07,9.8749e-07,4.5777e-06,9.2733e-06,9.2610e-06,7.9006e-06,5.4853e-08,2.8719e-07,7.3580e-07,4.6036e-06,7.9155e-06,9.1658e-06,8.7672e-06
