Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,60.00,0.00,30.00,0.00,9.6813e-07,1.3104e-06,1.5369e-06,9.7777e-09,1.1430e-06,4.9393e-07,9.8519e-07,1.3079e-06,1.5395e-06,5.9992e-09,1.1488e-06,4.9424e-07
P0,30.00,0.00,45.00,0.00,8.0803e-07,1.1074e-06,1.2787e-06,8.0847e-09,9.1727e-07,3.8392e-07,8.2203e-07,1.1063e-06,1.2802e-06,4.6658e-09,9.2203e-07,3.8403e-07
P0,60.00,0.00,60.00,0.00,6.6098e-07,9.1631e-07,1.1233e-06,7.9200e-09,9.4540e-07,4.5733e-07,6.7272e-07,9.1262e-07,1.1252e-06,5.1772e-09,9.4982e-07,4.5761e-07
P0,0.00,135.00,30.00,0.00,9.9475e-07,1.3507e-06,1.5353e-06,1.0030e-08,1.0402e-06,4.0800e-07,1.0119e-06,1.3503e-06,1.5370e-06,5.8408e-09,1.0460e-06,4.0815e-07
P0,0.00,90.00,30.00,0.00,9.9475e-07,1.3507e-06,1.5353e-06,1.0030e-08,1.0402e-06,4.0800e-07,1.0119e-06,1.3503e-06,1.5370e-06,5.8408e-09,1.0460e-06,4.0815e-07
P0,60.00,135.00,60.00,0.00,6.0351e-07,7.4372e-07,8.5415e-07,7.0639e-09,6.1698e-07,2.6114e-07,6.1473e-07,7.4225e-07,8.5626e-07,5.2504e-09,6.2011e-07,2.6134e-07
P0,30.00,180.00,45.00,0.00,8.0947e-07,1.0634e-06,1.2057e-06,7.9405e-09,8.3095e-07,3.3288e-07,8.2371e-07,1.0628e-06,1.2075e-06,4.8567e-09,8.3545e-07,3.3296e-07
P0,45.00,90.00,55.00,0.00,6.5233e-07,8.6368e-07,9.9940e-07,6.6648e-09,7.2742e-07,3.0856e-07,6.6391e-07,8.6240e-07,1.0011e-06,4.2341e-09,7.3115e-07,3.0867e-07
P0,55.00,45.00,45.00,0.00,8.2119e-07,1.1153e-06,1.3085e-06,8.5162e-09,9.8720e-07,4.3407e-07,8.3563e-07,1.1131e-06,1.3106e-06,5.2306e-09,9.9206e-07,4.3425e-07
P0,60.00,180.00,0.00,0.00,1.0695e-06,1.4136e-06,1.6308e-06,1.0305e-08,1.1484e-06,4.6790e-07,1.0884e-06,1.4117e-06,1.6339e-06,6.4219e-09,1.1546e-06,4.6816e-07
