Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P0,30.00,45.00,0.00,0.00,4.3803e-08,2.4271e-07,7.8892e-07,2.6815e-06,6.6005e-06,6.5890e-06,6.0106e-06,4.1893e-08,2.2166e-07,5.8773e-07,2.6892e-06,5.3311e-06,6.4905e-06,6.5310e-06
P0,0.00,135.00,0.00,0.00,4.0990e-08,2.5218e-07,8.1373e-07,2.7114e-06,6.6271e-06,6.6156e-06,6.1316e-06,3.9244e-08,2.3049e-07,6.0812e-07,2.7165e-06,5.3547e-06,6.5157e-06,6.6230e-06
P0,0.00,45.00,0.00,0.00,4.0990e-08,2.5218e-07,8.1373e-07,2.7114e-06,6.6271e-06,6.6156e-06,6.1316e-06,3.9244e-08,2.3049e-07,6.0812e-07,2.7165e-06,5.3547e-06,6.5157e-06,6.6230e-06
P0,0.00,45.00,60.00,0.00,2.9739e-08,2.5216e-07,8.1367e-07,2.7113e-06,6.6272e-06,6.6156e-06,6.1316e-06,2.8671e-08,2.3049e-07,6.0810e-07,2.7164e-06,5.3548e-06,6.5158e-06,6.6230e-06
P0,0.00,0.00,60.00,0.00,2.9739e-08,2.5216e-07,8.1367e-07,2.7113e-06,6.6272e-06,6.6156e-06,6.1316e-06,2.8671e-08,2.3049e-07,6.0810e-07,2.7164e-06,5.3548e-06,6.5158e-06,6.6230e-06
P0,0.00,0.00,0.00,0.00,4.0990e-08,2.5218e-07,8.1373e-07,2.7114e-06,6.6271e-06,6.6156e-06,6.1316e-06,3.9244e-08,2.3049e-07,6.0812e-07,2.7165e-06,5.3547e-06,6.5157e-06,6.6230e-06
P0,30.00,45.00,60.00,0.00,4.0785e-08,2.4271e-07,7.8889e-07,2.6819e-06,6.6006e-06,6.5890e-06,6.0106e-06,3.9208e-08,2.2166e-07,5.8772e-07,2.6896e-06,5.3312e-06,6.4906e-06,6.5310e-06
P0,0.00,90.00,60.00,0.00,2.9739e-08,2.5216e-07,8.1367e-07,2.7113e-06,6.6272e-06,6.6156e-06,6.1316e-06,2.8671e-08,2.3049e-07,6.0810e-07,2.7164e-06,5.3548e-06,6.5158e-06,6.6230e-06
P0,60.00,45.00,60.00,0.00,7.6116e-08,2.0932e-07,6.9374e-07,2.5460e-06,6.4845e-06,6.4730e-06,5.5136e-06,7.2970e-08,1.9075e-07,5.1244e-07,2.5637e-06,5.2275e-06,6.3813e-06,6.1385e-06
P0,30.00,90.00,0.00,0.00,4.3803e-08,2.4271e-07,7.8892e-07,2.6815e-06,6.6005e-06,6.5890e-06,6.0106e-06,4.1893e-08,2.2166e-07,5.8773e-07,2.6892e-06,5.3311e-06,6.4905e-06,6.5310e-06
P0,30.00,135.00,0.00,0.00,4.3803e-08,2.4271e-07,7.8892e-07,2.6815e-06,6.6005e-06,6.5890e-06,6.0106e-06,4.1893e-08,2.2166e-07,5.8773e-07,2.6892e-06,5.3311e-06,6.4905e-06,6.5310e-06
P0,0.00,45.00,30.00,0.00,3.9055e-08,2.5217e-07,8.1371e-07,2.7113e-06,6.6271e-06,6.6156e-06,6.1316e-06,3.7416e-08,2.3049e-07,6.0812e-07,2.7164e-06,5.3547e-06,6.5157e-06,6.6230e-06
P0,60.00,90.00,30.00,0.00,5.1508e-08,2.0930e-07,6.9371e-07,2.5441e-06,6.4842e-06,6.4728e-06,5.5136e-06,4.9264e-08,1.9075e-07,5.1244e-07,2.5616e-06,5.2271e-06,6.3811e-06,6.1383e-06
P1,30.00,180.00,30.00,0.00,6.8908e-08,3.2459e-07,1.0660e-06,5.7614e-06,1.1343e-05,1.1330e-05,8.7459e-06,6.8127e-08,2.9439e-07,7.7751e-07,5.8140e-06,9.9920e-06,1.1263e-05,9.9919e-06
P1,0.00,45.00,60.00,0.00,6.2374e-08,3.3912e-07,1.1069e-06,5.8345e-06,1.1431e-05,1.1418e-05,9.0023e-06,6.2040e-08,3.0782e-07,8.0769e-07,5.8814e-06,1.0053e-05,1.1345e-05,1.0205e-05
