Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,55.00,180.00,45.00,0.00,8.8659e-07,1.1212e-06,1.2670e-06,2.5324e-08,6.5922e-07,2.3758e-07,9.0292e-07,1.1195e-06,1.2650e-06,2.0859e-08,6.6379e-07,2.3746e-07
P0,60.00,45.00,30.00,0.00,NaN,NaN,NaN,NaN,NaN,4.7195e-07,NaN,NaN,NaN,NaN,NaN,4.7224e-07
P0,0.00,180.00,0.00,0.00,NaN,NaN,NaN,NaN,1.1999e-06,4.6299e-07,NaN,NaN,NaN,NaN,1.2067e-06,4.6314e-07
P0,55.00,135.00,45.00,0.00,8.8487e-07,1.1380e-06,1.2955e-06,2.6449e-08,6.8825e-07,2.5234e-07,9.0109e-07,1.1360e-06,1.2934e-06,2.1800e-08,6.9290e-07,2.5224e-07
P0,55.00,0.00,45.00,0.00,1.0082e-06,1.4143e-06,1.6769e-06,4.3734e-08,1.0497e-06,4.4100e-07,1.0262e-06,1.4101e-06,1.6727e-06,3.6771e-08,1.0552e-06,4.4116e-07
P0,30.00,135.00,60.00,0.00,NaN,NaN,NaN,NaN,NaN,2.3577e-07,NaN,NaN,NaN,NaN,NaN,2.3589e-07
P0,60.00,0.00,45.00,0.00,1.0133e-06,1.4223e-06,1.7046e-06,4.2211e-08,1.1034e-06,4.7394e-07,1.0315e-06,1.4171e-06,1.7001e-06,3.4946e-08,1.1090e-06,4.7414e-07
P0,60.00,135.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,4.6790e-07,NaN,NaN,NaN,NaN,NaN,4.6816e-07
P0,30.00,45.00,30.00,0.00,NaN,NaN,NaN,NaN,NaN,4.3540e-07,NaN,NaN,NaN,NaN,NaN,4.3560e-07
P0,60.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,4.6790e-07,NaN,NaN,NaN,NaN,NaN,4.6816e-07
P0,60.00,0.00,30.00,0.00,NaN,NaN,NaN,NaN,NaN,4.9393e-07,NaN,NaN,NaN,NaN,NaN,4.9424e-07
P0,30.00,0.00,45.00,0.00,9.6634e-07,1.3390e-06,1.5416e-06,4.0922e-08,8.3785e-07,3.1664e-07,9.8340e-07,1.3369e-06,1.5387e-06,3.5263e-08,8.4317e-07,3.1661e-07
P0,60.00,0.00,60.00,0.00,NaN,NaN,NaN,NaN,NaN,4.5733e-07,NaN,NaN,NaN,NaN,NaN,4.5761e-07
P0,0.00,135.00,30.00,0.00,NaN,NaN,NaN,NaN,NaN,4.0800e-07,NaN,NaN,NaN,NaN,NaN,4.0815e-07
P0,0.00,90.00,30.00,0.00,NaN,NaN,NaN,NaN,NaN,4.0800e-07,NaN,NaN,NaN,NaN,NaN,4.0815e-07
P0,60.00,135.00,60.00,0.00,6.2225e-07,7.5496e-07,8.6009e-07,1.6102e-08,4.7601e-07,1.8169e-07,6.3411e-07,7.5305e-07,8.5862e-07,1.2957e-08,4.7910e-07,1.8157e-07
P0,30.00,180.00,45.00,0.00,9.2242e-07,1.2237e-06,1.3822e-06,3.1503e-08,6.8883e-07,2.4015e-07,9.3891e-07,1.2225e-06,1.3803e-06,2.6773e-08,6.9381e-07,2.4001e-07
P0,45.00,90.00,55.00,0.00,7.3210e-07,9.7678e-07,1.1299e-06,2.5410e-08,6.3433e-07,2.4385e-07,7.4536e-07,9.7465e-07,1.1276e-06,2.1124e-08,6.3833e-07,2.4381e-07
P0,55.00,45.00,45.00,0.00,9.6157e-07,1.3274e-06,1.5617e-06,3.8258e-08,9.4246e-07,3.8420e-07,9.7882e-07,1.3237e-06,1.5581e-06,3.1985e-08,9.4773e-07,3.8428e-07
P0,60.00,180.00,0.00,0.00,1.2232e-06,1.6286e-06,1.8719e-06,3.7235e-08,9.7299e-07,3.5331e-07,1.2453e-06,1.6257e-06,1.8692e-06,3.0676e-08,9.7973e-07,3.5305e-07
P0,60.00,135.00,55.00,0.00,7.1120e-07,8.7825e-07,1.0012e-06,1.9022e-08,5.4912e-07,2.0716e-07,7.2459e-07,8.7622e-07,9.9946e-07,1.5371e-08,5.5271e-07,2.0709e-07
P0,0.00,180.00,30.00,0.00,NaN,NaN,NaN,NaN,NaN,4.0800e-07,NaN,NaN,NaN,NaN,NaN,4.0815e-07
P0,0.00,90.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,4.6299e-07,NaN,NaN,NaN,NaN,NaN,4.6314e-07
P0,60.00,90.00,60.00,0.00,NaN,NaN,NaN,NaN,NaN,2.9559e-07,NaN,NaN,NaN,NaN,NaN,2.9580e-07
