Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P1,0.00,90.00,0.00,0.00,6.0247e-08,3.3895e-07,1.1069e-06,5.3514e-06,1.0642e-05,1.0629e-05,8.9485e-06,6.0108e-08,3.0782e-07,8.0771e-07,5.3832e-06,9.1112e-06,1.0521e-05,9.9988e-06
P1,30.00,135.00,30.00,0.00,5.9660e-08,3.2444e-07,1.0660e-06,5.3198e-06,1.0593e-05,1.0579e-05,8.7087e-06,5.9599e-08,2.9439e-07,7.7750e-07,5.3581e-06,9.0776e-06,1.0476e-05,9.8179e-06
P1,30.00,0.00,30.00,0.00,5.9745e-08,3.2444e-07,1.0660e-06,5.3198e-06,1.0593e-05,1.0579e-05,8.7087e-06,5.9680e-08,2.9439e-07,7.7750e-07,5.3581e-06,9.0776e-06,1.0476e-05,9.8179e-06
P1,0.00,45.00,0.00,0.00,6.0247e-08,3.3895e-07,1.1069e-06,5.3514e-06,1.0642e-05,1.0629e-05,8.9485e-06,6.0108e-08,3.0782e-07,8.0771e-07,5.3832e-06,9.1112e-06,1.0521e-05,9.9988e-06
P1,30.00,180.00,60.00,0.00,5.2261e-08,3.2444e-07,1.0660e-06,5.3196e-06,1.0593e-05,1.0579e-05,8.7087e-06,5.2385e-08,2.9439e-07,7.7750e-07,5.3578e-06,9.0774e-06,1.0476e-05,9.8179e-06
P1,0.00,135.00,0.00,0.00,6.0247e-08,3.3895e-07,1.1069e-06,5.3514e-06,1.0642e-05,1.0629e-05,8.9485e-06,6.0108e-08,3.0782e-07,8.0771e-07,5.3832e-06,9.1112e-06,1.0521e-05,9.9988e-06
P1,0.00,180.00,30.00,0.00,5.7952e-08,3.3895e-07,1.1069e-06,5.3513e-06,1.0642e-05,1.0628e-05,8.9485e-06,5.7887e-08,3.0782e-07,8.0771e-07,5.3832e-06,9.1112e-06,1.0521e-05,9.9988e-06
P1,30.00,90.00,60.00,0.00,5.2378e-08,3.2444e-07,1.0660e-06,5.3196e-06,1.0593e-05,1.0579e-05,8.7087e-06,5.2498e-08,2.9439e-07,7.7750e-07,5.3578e-06,9.0774e-06,1.0476e-05,9.8179e-06
P1,60.00,180.00,60.00,0.00,5.8728e-08,2.7283e-07,9.1855e-07,5.1589e-06,1.0334e-05,1.0321e-05,7.7140e-06,5.8788e-08,2.4676e-07,6.6791e-07,5.2253e-06,8.9007e-06,1.0236e-05,9.0165e-06
P1,60.00,0.00,0.00,0.00,7.0542e-08,2.7283e-07,9.1855e-07,5.1593e-06,1.0334e-05,1.0321e-05,7.7140e-06,7.0391e-08,2.4676e-07,6.6791e-07,5.2257e-06,8.9012e-06,1.0236e-05,9.0165e-06
