Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P0,0.00,135.00,0.00,0.00,7.5430e-08,2.5189e-07,8.0823e-07,2.6382e-06,6.5297e-06,6.5182e-06,6.0902e-06,7.1999e-08,2.3037e-07,6.0638e-07,2.6409e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,0.00,45.00,0.00,0.00,7.5430e-08,2.5189e-07,8.0823e-07,2.6382e-06,6.5297e-06,6.5182e-06,6.0902e-06,7.1999e-08,2.3037e-07,6.0638e-07,2.6409e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,0.00,45.00,60.00,0.00,4.7226e-08,2.5186e-07,8.0811e-07,2.6379e-06,6.5297e-06,6.5182e-06,6.0902e-06,4.5383e-08,2.3037e-07,6.0634e-07,2.6406e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,0.00,0.00,60.00,0.00,4.7226e-08,2.5186e-07,8.0811e-07,2.6379e-06,6.5297e-06,6.5182e-06,6.0902e-06,4.5383e-08,2.3037e-07,6.0634e-07,2.6406e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,0.00,0.00,0.00,0.00,7.5430e-08,2.5189e-07,8.0823e-07,2.6382e-06,6.5297e-06,6.5182e-06,6.0902e-06,7.1999e-08,2.3037e-07,6.0638e-07,2.6409e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,30.00,45.00,60.00,0.00,6.2545e-08,2.4247e-07,7.8421e-07,2.6077e-06,6.5093e-06,6.4977e-06,5.9750e-06,6.0146e-08,2.2159e-07,5.8633e-07,2.6127e-06,5.2435e-06,6.3993e-06,6.4727e-06
P0,0.00,90.00,60.00,0.00,4.7226e-08,2.5186e-07,8.0811e-07,2.6379e-06,6.5297e-06,6.5182e-06,6.0902e-06,4.5383e-08,2.3037e-07,6.0634e-07,2.6406e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,60.00,45.00,60.00,0.00,1.0776e-07,2.0922e-07,6.9151e-07,2.4646e-06,6.4139e-06,6.4024e-06,5.4951e-06,1.0383e-07,1.9074e-07,5.1201e-07,2.4781e-06,5.1517e-06,6.3104e-06,6.1002e-06
P0,30.00,90.00,0.00,0.00,7.9698e-08,2.4249e-07,7.8428e-07,2.6072e-06,6.5092e-06,6.4977e-06,5.9750e-06,7.6095e-08,2.2159e-07,5.8636e-07,2.6122e-06,5.2434e-06,6.3993e-06,6.4727e-06
P0,30.00,135.00,0.00,0.00,7.9698e-08,2.4249e-07,7.8428e-07,2.6072e-06,6.5092e-06,6.4977e-06,5.9750e-06,7.6095e-08,2.2159e-07,5.8636e-07,2.6122e-06,5.2434e-06,6.3993e-06,6.4727e-06
P0,0.00,45.00,30.00,0.00,7.0022e-08,2.5188e-07,8.0820e-07,2.6381e-06,6.5297e-06,6.5182e-06,6.0902e-06,6.6916e-08,2.3037e-07,6.0637e-07,2.6408e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,60.00,90.00,30.00,0.00,8.5338e-08,2.0920e-07,6.9148e-07,2.4619e-06,6.4136e-06,6.4021e-06,5.4951e-06,8.1703e-08,1.9074e-07,5.1201e-07,2.4751e-06,5.1512e-06,6.3101e-06,6.1001e-06
P1,30.00,180.00,30.00,0.00,9.1790e-08,3.2455e-07,1.0660e-06,5.6861e-06,1.1298e-05,1.1286e-05,8.7366e-06,8.9946e-08,2.9439e-07,7.7750e-07,5.7346e-06,9.9346e-06,1.1217e-05,9.9721e-06
P1,0.00,45.00,60.00,0.00,7.3600e-08,3.3908e-07,1.1069e-06,5.7633e-06,1.1382e-05,1.1369e-05,8.9906e-06,7.2754e-08,3.0782e-07,8.0771e-07,5.8068e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,0.00,180.00,0.00,0.00,9.9927e-08,3.3909e-07,1.1069e-06,5.7636e-06,1.1382e-05,1.1369e-05,8.9906e-06,9.7728e-08,3.0782e-07,8.0771e-07,5.8071e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,0.00,90.00,0.00,0.00,9.9927e-08,3.3909e-07,1.1069e-06,5.7636e-06,1.1382e-05,1.1369e-05,8.9906e-06,9.7728e-08,3.0782e-07,8.0771e-07,5.8071e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,30.00,135.00,30.00,0.00,9.3368e-08,3.2456e-07,1.0660e-06,5.6862e-06,1.1298e-05,1.1286e-05,8.7366e-06,9.1475e-08,2.9439e-07,7.7750e-07,5.7348e-06,9.9346e-06,1.1217e-05,9.9721e-06
