Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,30.00,0.00,60.00,0.00,3.9419e-07,5.2062e-07,6.2336e-07,4.7834e-09,5.2245e-07,2.5159e-07,4.0120e-07,5.1892e-07,6.2461e-07,3.2617e-09,5.2345e-07,2.5215e-07
P0,45.00,135.00,45.00,0.00,5.8852e-07,7.5341e-07,8.8585e-07,7.0853e-09,7.3345e-07,3.5086e-07,5.9905e-07,7.5143e-07,8.8742e-07,4.8453e-09,7.3465e-07,3.5184e-07
P0,55.00,180.00,0.00,0.00,7.4567e-07,9.7631e-07,1.1632e-06,8.8884e-09,9.6222e-07,4.5718e-07,7.5889e-07,9.7329e-07,1.1653e-06,5.9239e-09,9.6372e-07,4.5849e-07
P0,45.00,135.00,60.00,0.00,4.4915e-07,5.6900e-07,6.7186e-07,5.6132e-09,5.6423e-07,2.7370e-07,4.5731e-07,5.6730e-07,6.7334e-07,4.0438e-09,5.6540e-07,2.7435e-07
P0,55.00,90.00,55.00,0.00,5.1081e-07,6.6542e-07,7.9462e-07,6.4742e-09,6.7512e-07,3.2931e-07,5.2001e-07,6.6323e-07,7.9638e-07,4.6219e-09,6.7653e-07,3.3008e-07
P0,45.00,135.00,55.00,0.00,5.0251e-07,6.3939e-07,7.5280e-07,6.1519e-09,6.2898e-07,3.0369e-07,5.1158e-07,6.3761e-07,7.5432e-07,4.3331e-09,6.3016e-07,3.0446e-07
P0,45.00,0.00,60.00,0.00,4.3024e-07,5.6306e-07,6.7281e-07,5.3985e-09,5.6937e-07,2.7674e-07,4.3795e-07,5.6121e-07,6.7425e-07,3.8037e-09,5.7054e-07,2.7741e-07
P0,0.00,0.00,30.00,0.00,5.9785e-07,7.8170e-07,9.3076e-07,7.5111e-09,7.4626e-07,3.4509e-07,6.0833e-07,7.7928e-07,9.3195e-07,4.8877e-09,7.4716e-07,3.4614e-07
P0,0.00,180.00,60.00,0.00,3.7596e-07,4.9200e-07,5.8780e-07,4.4967e-09,4.8732e-07,2.3255e-07,3.8265e-07,4.9042e-07,5.8894e-07,3.0413e-09,4.8822e-07,2.3310e-07
P0,55.00,180.00,45.00,0.00,6.3669e-07,7.9702e-07,9.3279e-07,7.8212e-09,7.7782e-07,3.7584e-07,6.4827e-07,7.9491e-07,9.3469e-07,5.5833e-09,7.7926e-07,3.7680e-07
P0,45.00,45.00,0.00,0.00,7.2260e-07,9.4646e-07,1.1251e-06,8.7498e-09,9.1751e-07,4.3041e-07,7.3532e-07,9.4363e-07,1.1268e-06,5.7200e-09,9.1874e-07,4.3176e-07
P0,60.00,45.00,30.00,0.00,6.8447e-07,9.0230e-07,1.0815e-06,8.3081e-09,9.1045e-07,4.3946e-07,6.9667e-07,8.9929e-07,1.0837e-06,5.7034e-09,9.1212e-07,4.4045e-07
P0,0.00,180.00,0.00,0.00,6.6499e-07,8.6709e-07,1.0355e-06,8.6451e-09,8.2131e-07,3.7573e-07,6.7663e-07,8.6422e-07,1.0367e-06,5.6506e-09,8.2220e-07,3.7692e-07
P0,55.00,135.00,45.00,0.00,6.2099e-07,7.8970e-07,9.3006e-07,7.6164e-09,7.7841e-07,3.7626e-07,6.3221e-07,7.8748e-07,9.3195e-07,5.3774e-09,7.7985e-07,3.7722e-07
P0,55.00,0.00,45.00,0.00,5.9058e-07,7.7749e-07,9.2773e-07,7.2476e-09,7.8256e-07,3.7878e-07,6.0111e-07,7.7506e-07,9.2958e-07,4.9897e-09,7.8401e-07,3.7975e-07
P0,30.00,135.00,60.00,0.00,4.1096e-07,5.2703e-07,6.2417e-07,4.9801e-09,5.1971e-07,2.4994e-07,4.1836e-07,5.2545e-07,6.2544e-07,3.4717e-09,5.2071e-07,2.5049e-07
