channel,ch_type,perturbation,perturbation_label,dy_mean,dy_p95,rel_err_mean,dTb_mean,dTb_p95
fy4a_ch04,reflective,0.02,pert_frac,0.0676920324512813,0.3374156965993919,1.631485050052964,nan,nan
fy4a_ch04,reflective,0.03,pert_frac,0.10153716741126041,0.5062328224523932,2.447206335183112,nan,nan
fy4a_ch04,reflective,0.04,pert_frac,0.13530524574781702,0.6747594773058113,3.261070433808897,nan,nan
fy4a_ch04,reflective,0.05,pert_frac,0.16917277640225,0.8435398480207046,4.077331490598484,nan,nan
fy4b_ch04,reflective,0.005,pert_frac,0.01660171583294163,0.08417903298645582,0.3902098702586352,nan,nan
fy4b_ch04,reflective,0.01,pert_frac,0.033200306008252,0.1683453725275675,0.7803462744688788,nan,nan
fy4b_ch04,reflective,0.02,pert_frac,0.06638368832043574,0.3364146801916263,1.5602947711831243,nan,nan
fy4b_ch04,reflective,0.03,pert_frac,0.09963361169923496,0.5052369777059871,2.341807261717778,nan,nan
fy4b_ch04,reflective,0.04,pert_frac,0.13274670072449438,0.6731864258610363,3.120103571715493,nan,nan
fy4b_ch04,reflective,0.05,pert_frac,0.16603431032407195,0.841976486068542,3.902501846314182,nan,nan
fy4a_ch05,reflective,0.005,pert_frac,0.11128803218857007,0.3009083730984008,0.3996863547159392,nan,nan
fy4a_ch05,reflective,0.01,pert_frac,0.22257721228636682,0.602026351990452,0.7993768321002853,nan,nan
fy4a_ch05,reflective,0.02,pert_frac,0.44527924385249773,1.2041488726317469,1.5992019474700838,nan,nan
fy4a_ch05,reflective,0.03,pert_frac,0.6677792434314309,1.8059549578313756,2.398301473332088,nan,nan
fy4a_ch05,reflective,0.04,pert_frac,0.8905125606693401,2.408473277514156,3.1982389498952872,nan,nan
fy4a_ch05,reflective,0.05,pert_frac,1.1129989809876806,3.010348716711604,3.997289706405733,nan,nan
fy4b_ch05,reflective,0.005,pert_frac,0.11034107515519159,0.2985240820043171,0.39816692871341103,nan,nan
fy4b_ch05,reflective,0.01,pert_frac,0.22075852647719274,0.5972546832068608,0.7966094616270049,nan,nan
fy4b_ch05,reflective,0.02,pert_frac,0.4414513721273388,1.1948684395857176,1.5929819132997045,nan,nan
fy4b_ch05,reflective,0.03,pert_frac,0.6620535949259341,1.7908787913658755,2.389027351460686,nan,nan
fy4b_ch05,reflective,0.04,pert_frac,0.8826478133195658,2.3880400594250593,3.1850439056422792,nan,nan
fy4b_ch05,reflective,0.05,pert_frac,1.103599992159214,2.985481134873929,3.9823521638533164,nan,nan
fy4a_ch06,reflective,0.005,pert_frac,0.023699718850058175,0.06363915277872308,0.39859401874422123,nan,nan
fy4a_ch06,reflective,0.01,pert_frac,0.0474083148543044,0.12728071675011643,0.7973373380174998,nan,nan
fy4a_ch06,reflective,0.02,pert_frac,0.09479541018417167,0.2545340107579982,1.5943177951970984,nan,nan
fy4a_ch06,reflective,0.03,pert_frac,0.14218062157021905,0.38177681855486983,2.3912665672439317,nan,nan
fy4a_ch06,reflective,0.04,pert_frac,0.18959195897964864,0.509021961167658,3.1886547401427165,nan,nan
fy4a_ch06,reflective,0.05,pert_frac,0.23697327913589053,0.636241010286245,3.9855380674922585,nan,nan
fy4b_ch06,reflective,0.005,pert_frac,0.023724688572163127,0.0637023407703582,0.39934261264644233,nan,nan
fy4b_ch06,reflective,0.01,pert_frac,0.04744403255718404,0.1273711499652273,0.7985952632524391,nan,nan
fy4b_ch06,reflective,0.02,pert_frac,0.09488020698576141,0.2546174962362479,1.5970582556175807,nan,nan
fy4b_ch06,reflective,0.03,pert_frac,0.1423181925310158,0.3820691642476734,2.3955517333593126,nan,nan
fy4b_ch06,reflective,0.04,pert_frac,0.18974728768931545,0.5092271187552698,3.193895564864672,nan,nan
fy4b_ch06,reflective,0.05,pert_frac,0.2372591527377553,0.6369291073105483,3.9936326093547447,nan,nan
fy4a_ch07,ir,0.5,delta_K,0.007378239092650571,0.01812770754324986,1.6732763474510803,0.4142775011230518,1.061874371695054
fy4a_ch07,ir,1.0,delta_K,0.014754148097650785,0.03624861417604653,3.3460242652180763,0.8293460487108394,2.1269558604489327
fy4a_ch07,ir,2.0,delta_K,0.02952674992044221,0.072509012640641,6.696233564481871,1.6664334828405605,4.280306851761019
fy4a_ch07,ir,3.0,delta_K,0.04426983884282022,0.10870683540980973,10.039749771046132,2.517605118821273,6.487558810328656
fy4a_ch07,ir,4.0,delta_K,0.059028862830397766,0.1449722315561368,13.386879816543862,3.3962349355581094,8.780119932018174
fy4a_ch07,ir,5.0,delta_K,0.0737507580214734,0.18114027991080067,16.725589595875665,4.313943612460858,11.20795722443751
fy4b_ch07,ir,0.5,delta_K,0.007763424851726425,0.019065611122601474,1.7245938786925308,0.42997775107268227,1.1041123066896772
fy4b_ch07,ir,1.0,delta_K,0.015517351344942842,0.038119880306931565,3.447077759380722,0.8603353813015986,2.2123894782127915
fy4b_ch07,ir,2.0,delta_K,0.031043551260711035,0.07628721251354795,6.896121170696258,1.7290121780020786,4.452746154647501
fy4b_ch07,ir,3.0,delta_K,0.046548865967483095,0.11431939524096889,10.340525069904977,2.614394872616375,6.748728256480261
fy4b_ch07,ir,4.0,delta_K,0.06206984129788635,0.1524288358018907,13.788407873871156,3.5234247597905486,9.14087569859836
fy4b_ch07,ir,5.0,delta_K,0.07758125841462966,0.1905029161429597,17.234167383404277,4.459058392129492,11.661307928587513
fy4a_ch09,ir,0.5,delta_K,0.011018728540516307,0.027070256835974593,1.6721026628727609,0.4152937942551549,1.0565377774345661
fy4a_ch09,ir,1.0,delta_K,0.022046286542002986,0.054164040976810525,3.3455452049471917,0.8317004926095246,2.1176065857995496
fy4a_ch09,ir,2.0,delta_K,0.04408131468234805,0.1082963022620431,6.689381936605231,1.6689042887861276,4.257808485389305
fy4a_ch09,ir,3.0,delta_K,0.06613120790651966,0.16246139558042683,10.035474459043376,2.519127766492004,6.444423790461563
fy4a_ch09,ir,4.0,delta_K,0.0881517370500666,0.21653577950112274,13.377110953980273,3.390347322910707,8.705886993366448
fy4a_ch09,ir,5.0,delta_K,0.1102277589304553,0.2707479125709153,16.72716852515133,4.290075844863807,11.086891728226398
fy4b_ch09,ir,0.5,delta_K,0.011955930758523699,0.02936863755067334,1.653699744375783,0.41754950643639155,1.060392521504262
fy4b_ch09,ir,1.0,delta_K,0.0239065095093629,0.0587394778611438,3.3066592190127633,0.8356793463348621,2.123687777480633
fy4b_ch09,ir,2.0,delta_K,0.04784093601222848,0.11751898089255043,6.617179812430544,1.6778530026762184,4.271414963797293
fy4b_ch09,ir,3.0,delta_K,0.07178534426256777,0.17632359801213587,9.929081043924866,2.5330772258263474,6.467042798295459
