channel,ch_type,perturbation,perturbation_label,dy_mean,dy_p95,rel_err_mean,rel_err_p95,dTb_mean,dTb_p95
fy4b_ch02,reflective,0.06,pert_frac,11.231356856751699,30.16485719600019,4.795699916161483,12.88015374909206,nan,nan
fy4a_ch03,reflective,0.01,pert_frac,1.2628251526434946,3.429950169877203,0.7890114427373384,2.1430282144657213,nan,nan
fy4a_ch03,reflective,0.02,pert_frac,2.525155963967388,6.860116050576584,1.5777140216886119,4.286191204760595,nan,nan
fy4a_ch03,reflective,0.03,pert_frac,3.788871245241622,10.29348891411451,2.3672816155872507,6.431357913583705,nan,nan
fy4a_ch03,reflective,0.04,pert_frac,5.050323019474614,13.71902505301184,3.155434973356272,8.571628247479477,nan,nan
fy4a_ch03,reflective,0.05,pert_frac,6.311198417858151,17.14185675312567,3.943228212276232,10.71020885169106,nan,nan
fy4a_ch03,reflective,0.06,pert_frac,7.575758115696664,20.577786725217127,4.73332339649904,12.856973238470484,nan,nan
fy4b_ch03,reflective,0.01,pert_frac,1.2831933301025078,3.480136750847137,0.8060883126732252,2.1861846500856954,nan,nan
fy4b_ch03,reflective,0.02,pert_frac,2.5662105716837913,6.9559656991344605,1.612066008422543,4.369663184720735,nan,nan
fy4b_ch03,reflective,0.03,pert_frac,3.849130413060373,10.436387894317518,2.41798251840599,6.556027147882415,nan,nan
fy4b_ch03,reflective,0.04,pert_frac,5.132362389728963,13.91707717741849,3.2240951084382954,8.742558892814806,nan,nan
fy4b_ch03,reflective,0.05,pert_frac,6.416299597361837,17.40109096051647,4.030650717012475,10.931179053054697,nan,nan
fy4b_ch03,reflective,0.06,pert_frac,7.699763055804411,20.873951952364457,4.836908721417055,13.112793149228166,nan,nan
fy4a_ch04,reflective,0.01,pert_frac,0.03383371146507976,0.16873112080119532,0.8154459608346176,4.066686892049734,nan,nan
fy4a_ch04,reflective,0.02,pert_frac,0.06767300642922161,0.33739286250484934,1.63102649282801,8.131701638112327,nan,nan
fy4a_ch04,reflective,0.03,pert_frac,0.10153804867692166,0.506123544899088,2.4472275750794394,12.19837796386098,nan,nan
fy4a_ch04,reflective,0.04,pert_frac,0.13538288988168032,0.6749770966031919,3.262941780244143,16.268015634318846,nan,nan
fy4a_ch04,reflective,0.05,pert_frac,0.16913155718477146,0.8434493466322661,4.076338042261126,20.328463331306516,nan,nan
fy4a_ch04,reflective,0.06,pert_frac,0.2030073316826994,1.0122478176248462,4.892797788718166,24.396773469495912,nan,nan
fy4b_ch04,reflective,0.01,pert_frac,0.033203431665883264,0.16835806597291297,0.7804197405172706,3.9571198387778175,nan,nan
fy4b_ch04,reflective,0.02,pert_frac,0.066400612016504,0.33669074505513485,1.5606925489377577,7.913642979273209,nan,nan
fy4b_ch04,reflective,0.03,pert_frac,0.0995755324806534,0.504622020287436,2.340442156774681,11.860731447727769,nan,nan
fy4b_ch04,reflective,0.04,pert_frac,0.1328448155989799,0.673649303607981,3.1224096822903693,15.833580697671398,nan,nan
fy4b_ch04,reflective,0.05,pert_frac,0.165933375905618,0.8414830323262962,3.9001294646443667,19.778376414403805,nan,nan
fy4b_ch04,reflective,0.06,pert_frac,0.19924117238888675,1.0103717832822492,4.6830022155770274,23.747969573437437,nan,nan
fy4a_ch05,reflective,0.01,pert_frac,0.22257606437714014,0.6018167461967946,0.7993727094318784,2.161399898659625,nan,nan
fy4a_ch05,reflective,0.02,pert_frac,0.44515442457273363,1.204052703980897,1.5987536642005706,4.324305378358744,nan,nan
fy4a_ch05,reflective,0.03,pert_frac,0.6679188657787481,1.8062233089476218,2.398802921205131,6.486976146123126,nan,nan
fy4a_ch05,reflective,0.04,pert_frac,0.8903723245752402,2.4079399437751676,3.1977352977761138,8.64801649894971,nan,nan
fy4a_ch05,reflective,0.05,pert_frac,1.1131407008366716,3.0105915968926995,3.997798687369096,10.812414931208268,nan,nan
fy4a_ch05,reflective,0.06,pert_frac,1.3355987771852176,3.612418460053926,4.796747647686883,12.973851164526303,nan,nan
fy4b_ch05,reflective,0.01,pert_frac,0.22068215031038324,0.5970481640086347,0.7963338574268222,2.1544545711825425,nan,nan
fy4b_ch05,reflective,0.02,pert_frac,0.4415170529543855,1.1945093664137219,1.5932189232540097,4.310399595757213,nan,nan
fy4b_ch05,reflective,0.03,pert_frac,0.6621770581910063,1.7923026593785796,2.3894728699495498,6.4675429726050755,nan,nan
fy4b_ch05,reflective,0.04,pert_frac,0.8827381265679116,2.387838388487832,3.1853698019475796,8.616539906566674,nan,nan
fy4b_ch05,reflective,0.05,pert_frac,1.103309766649458,2.985050074281323,3.981304882052852,10.771584547827493,nan,nan
fy4b_ch05,reflective,0.06,pert_frac,1.3243199905910576,3.582577361848715,4.778822596623984,12.927768041404494,nan,nan
fy4a_ch06,reflective,0.01,pert_frac,0.047399437700116356,0.1272783055574478,0.7971880374884425,2.1406317784640523,nan,nan
fy4a_ch06,reflective,0.02,pert_frac,0.09481662970860877,0.2545614335002363,1.5946746760349992,4.281344662276444,nan,nan
fy4a_ch06,reflective,0.03,pert_frac,0.1421931152762578,0.38180101613699646,2.3914766927956523,6.421325178813212,nan,nan
fy4a_ch06,reflective,0.04,pert_frac,0.18957416209362488,0.5090357580731593,3.1883554229919002,8.561224281966267,nan,nan
fy4a_ch06,reflective,0.05,pert_frac,0.2369899487245605,0.6362774514595724,3.9858184251783904,10.701240298172547,nan,nan
fy4a_ch06,reflective,0.06,pert_frac,0.28436793496306906,0.7634892123434934,4.782645680990718,12.840752894210222,nan,nan
fy4b_ch06,reflective,0.01,pert_frac,0.04744937714432625,0.12740468154071982,0.7986852252928847,2.144522076026566,nan,nan
fy4b_ch06,reflective,0.02,pert_frac,0.09488806511436808,0.25474229993045366,1.5971905265048782,4.28791532063157,nan,nan
fy4b_ch06,reflective,0.03,pert_frac,0.14232031047864227,0.38192624435437283,2.3955873834263737,6.428721868984797,nan,nan
fy4b_ch06,reflective,0.04,pert_frac,0.18975759004135379,0.5094255523302315,3.1940689778124067,8.57483673168668,nan,nan
fy4b_ch06,reflective,0.05,pert_frac,0.23718410961164366,0.6365338984440874,3.9923694560808283,10.71437078170719,nan,nan
fy4b_ch06,reflective,0.06,pert_frac,0.28471098328530586,0.7643149287726579,4.792359131225686,12.865227697820256,nan,nan
fy4a_ch07,ir,0.5,delta_K,0.007339239055118151,0.01884714916994417,1.6644317112806826,4.27425684190191,0.3911977246928194,0.9612686088057193
fy4a_ch07,ir,1.0,delta_K,0.014675474428683858,0.037650976778002845,3.3281822316655605,8.538688989330332,0.782822686961216,1.9247784008888928
fy4a_ch07,ir,1.5,delta_K,0.022029440035057447,0.0565389237802778,4.995953708652642,12.822198180879516,1.1763759667076141,2.893928379866954
fy4a_ch07,ir,2.0,delta_K,0.02935518760537666,0.07531913846674416,6.65732574917414,17.08127526422036,1.570377019291217,3.868257096016202
fy4b_ch07,ir,0.5,delta_K,0.00772138121369721,0.019805893790677112,1.7152541604408595,4.399749317576034,0.4051281940988712,0.9951467654511305
fy4b_ch07,ir,1.0,delta_K,0.015440051828917013,0.039622081156923006,3.429906179219887,8.801785285406925,0.8106378260272852,1.9935067090135177
fy4b_ch07,ir,1.5,delta_K,0.0231695424029835,0.05940187206101941,5.146961780844253,13.19573601804486,1.2180528122253627,2.995966099675182
fy4b_ch07,ir,2.0,delta_K,0.030872476975044586,0.07920135473309041,6.858118140912767,17.594061147699342,1.6259979969580656,4.008538050804291
fy4a_ch09,ir,0.5,delta_K,0.010959549298390806,0.027850966227455184,1.6631221559130889,4.226410934915819,0.39717470197688454,0.9761758823284847
fy4a_ch09,ir,1.0,delta_K,0.021911475914046238,0.05567183452955706,3.325087562383337,8.448254480686405,0.7946036473436519,1.9529685339269451
fy4a_ch09,ir,1.5,delta_K,0.032870082447170476,0.08346844104320819,4.9880666527596995,12.666416276704705,1.1933353417733419,2.935700843621459
fy4a_ch09,ir,2.0,delta_K,0.04383480839885865,0.11140359234245867,6.651974370793814,16.9056023773037,1.5939418572531583,3.9268868807976336
fy4b_ch09,ir,0.5,delta_K,0.011890391374167178,0.030229112221247377,1.6446345812073149,4.1811780414790825,0.39963578042541026,0.9821292739509728
fy4b_ch09,ir,1.0,delta_K,0.023788220192420453,0.06048337373257553,3.290297881937384,8.365834638949982,0.8000981391656578,1.9669964689413149
fy4b_ch09,ir,1.5,delta_K,0.03567362490650158,0.09064018618158069,4.93424272692289,12.537012445625919,1.2010988062807686,2.955069499170316
fy4b_ch09,ir,2.0,delta_K,0.04757698073896736,0.12098608002787672,6.580670503641903,16.734343285861645,1.6040950477240343,3.9519289434805214
fy4a_ch10,ir,0.5,delta_K,0.01713121858211987,0.043485068194180444,1.2678336547930855,3.218208481391764,0.3577383162457235,0.8788094202467192
fy4a_ch10,ir,1.0,delta_K,0.03427480024393307,0.08696968239761384,2.5365822665950355,6.436383364195937,0.7160318058745452,1.7593906532449453
fy4a_ch10,ir,1.5,delta_K,0.051384533783340784,0.13046448157861787,3.802825873365876,9.655312008752402,1.0740802140941463,2.640818616821927
fy4a_ch10,ir,2.0,delta_K,0.0684911800850141,0.17387430038781596,5.068841002291943,12.867951493267164,1.4330234680732479,3.5265611014319216
